folio_estudiante,nombre,apellido1,apellido2,periodo,correo
1,Andera,Geronimo,Almaraz,julio-2023-2024,AnderaGeronimo@gmail.com
2,Conchetta,Emerald,Villagómez,julio-2023-2024,ConchettaEmerald@gmail.com
3,Vidal,Benigna,Tirado,julio-2023-2024,VidalBenigna@gmail.com
4,Rosario,Heloise,Hinojosa,julio-2023-2024,RosarioHeloise@gmail.com
5,Lia,Domenica,Calderón,julio-2023-2024,LiaDomenica@gmail.com
6,Chrysann,Jose,Méndez,julio-2023-2024,ChrysannJose@gmail.com
7,Esteban,Elysa,Samaniego,julio-2023-2024,EstebanElysa@gmail.com
8,Rodrigo,Chago,Mares,julio-2023-2024,RodrigoChago@gmail.com
9,Raymon,Delcine,Zavala,julio-2023-2024,RaymonDelcine@gmail.com
10,Cristiano,Estela,Carrasquillo,julio-2023-2024,CristianoEstela@gmail.com
11,Criston,Geronimo,Berríos,julio-2023-2024,CristonGeronimo@gmail.com
12,Jorge,Sabino,Ornelas,julio-2023-2024,JorgeSabino@gmail.com
13,Montrelle,Ramiro,Peña,julio-2023-2024,MontrelleRamiro@gmail.com
14,Cristina,Emesta,Chávez,julio-2023-2024,CristinaEmesta@gmail.com
15,Oliverio,Constantia,Kyra,julio-2023-2024,OliverioConstantia@gmail.com
16,Blinda,Mani,Bétancourt,julio-2023-2024,BlindaMani@gmail.com
17,Valentin,Fidelity,Osorio,julio-2023-2024,ValentinFidelity@gmail.com
18,Florida,Lalla,Montemayor,julio-2023-2024,FloridaLalla@gmail.com
19,Acacia,Dinora,Aparicio,julio-2023-2024,AcaciaDinora@gmail.com
20,Fanuco,Daria,Sepúlveda,julio-2023-2024,FanucoDaria@gmail.com
21,Rio,Gala,Moreno,julio-2023-2024,RioGala@gmail.com
22,Arcilla,Aldonsa,Mendoza,julio-2023-2024,ArcillaAldonsa@gmail.com
23,Belle,Xavier,Sedillo,julio-2023-2024,BelleXavier@gmail.com
24,Nesto,Hermosa,Ybarra,julio-2023-2024,NestoHermosa@gmail.com
25,Amora,Renaldo,Montaño,julio-2023-2024,AmoraRenaldo@gmail.com
26,Atalaya,Clarissa,Vásquez,julio-2023-2024,AtalayaClarissa@gmail.com
27,Cristoval,Noe,Munguía,julio-2023-2024,CristovalNoe@gmail.com
28,Luis,Alicia,Valladares,julio-2023-2024,LuisAlicia@gmail.com
29,Estela,Carola,Laboy,julio-2023-2024,EstelaCarola@gmail.com
30,Earlina,Cenobia,Polanco,julio-2023-2024,EarlinaCenobia@gmail.com
31,Gaspar,Gualterio,Serrato,julio-2023-2024,GasparGualterio@gmail.com
